Link,Date,Gamertags
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675935195&player=shnateman,"2011-06-29 11:56:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675920434&player=shnateman,"2011-06-29 11:48:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675148502&player=shnateman,"2011-06-28 21:00:00","DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675109484&player=shnateman,"2011-06-28 20:34:00","DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673503602&player=shnateman,"2011-06-27 23:03:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673489543&player=shnateman,"2011-06-27 22:50:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673478970&player=shnateman,"2011-06-27 22:41:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671537614&player=shnateman,"2011-06-27 00:11:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671528000&player=shnateman,"2011-06-26 23:59:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671506696&player=shnateman,"2011-06-26 23:34:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671495025&player=shnateman,"2011-06-26 23:22:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669604648&player=shnateman,"2011-06-26 00:45:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669592228&player=shnateman,"2011-06-26 00:31:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669581146&player=shnateman,"2011-06-26 00:18:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669563218&player=shnateman,"2011-06-25 23:59:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666465397&player=shnateman,"2011-06-24 12:26:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666452443&player=shnateman,"2011-06-24 12:19:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666431362&player=shnateman,"2011-06-24 12:07:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=558253972&player=shnateman,"2011-04-06 21:39:00","Evasive Ebu,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557095173&player=shnateman,"2011-04-05 23:03:00","DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557086022&player=shnateman,"2011-04-05 22:49:00","BioticJoker,DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557073777&player=shnateman,"2011-04-05 22:30:00","BioticJoker,DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557067281&player=shnateman,"2011-04-05 22:21:00","BioticJoker,DrZoidbergOBGYN,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557059829&player=shnateman,"2011-04-05 22:11:00","BioticJoker,DrZoidbergOBGYN,shnateman"
