Link,Date
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666465397&player=shnateman,"6.24.2011 12:26PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666452443&player=shnateman,"6.24.2011 12:19PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=666431362&player=shnateman,"6.24.2011 12:07PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=558253972&player=shnateman,"4.06.2011 9:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557095173&player=shnateman,"4.05.2011 11:03PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557086022&player=shnateman,"4.05.2011 10:49PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557073777&player=shnateman,"4.05.2011 10:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557067281&player=shnateman,"4.05.2011 10:21PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557059829&player=shnateman,"4.05.2011 10:11PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557052968&player=shnateman,"4.05.2011 10:03PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557044825&player=shnateman,"4.05.2011 9:53PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557037118&player=shnateman,"4.05.2011 9:44PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557028814&player=shnateman,"4.05.2011 9:35PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=557024228&player=shnateman,"4.05.2011 9:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=554452700&player=shnateman,"4.03.2011 11:06PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=554444442&player=shnateman,"4.03.2011 10:54PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=554438495&player=shnateman,"4.03.2011 10:45PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=547118091&player=shnateman,"3.30.2011 7:11PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=545661657&player=shnateman,"3.29.2011 6:52PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=544508551&player=shnateman,"3.28.2011 9:57PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=544498631&player=shnateman,"3.28.2011 9:45PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=544490241&player=shnateman,"3.28.2011 9:37PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=544483696&player=shnateman,"3.28.2011 9:29PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=539975686&player=shnateman,"3.26.2011 10:53AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=539966612&player=shnateman,"3.26.2011 10:48AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=539919539&player=shnateman,"3.26.2011 10:24AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518756278&player=shnateman,"3.12.2011 1:30AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518751745&player=shnateman,"3.12.2011 1:22AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518742218&player=shnateman,"3.12.2011 1:05AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518729241&player=shnateman,"3.12.2011 12:43AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518718535&player=shnateman,"3.12.2011 12:27AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518713637&player=shnateman,"3.12.2011 12:20AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=518692975&player=shnateman,"3.11.2011 11:52PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=449145364&player=shnateman,"1.25.2011 11:50PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=449003969&player=shnateman,"1.25.2011 8:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447878893&player=shnateman,"1.24.2011 10:22PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447907110&player=shnateman,"1.24.2011 10:02PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447838023&player=shnateman,"1.24.2011 9:35PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447393562&player=shnateman,"1.24.2011 4:48PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447366667&player=shnateman,"1.24.2011 4:34PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=447310945&player=shnateman,"1.24.2011 4:04PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446496373&player=shnateman,"1.24.2011 12:00AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446491692&player=shnateman,"1.23.2011 11:51PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446486223&player=shnateman,"1.23.2011 11:40PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446481649&player=shnateman,"1.23.2011 11:31PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446478460&player=shnateman,"1.23.2011 11:26PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446471000&player=shnateman,"1.23.2011 11:12PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446465864&player=shnateman,"1.23.2011 11:05PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446457772&player=shnateman,"1.23.2011 10:52PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446491951&player=shnateman,"1.23.2011 10:51PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446455969&player=shnateman,"1.23.2011 10:49PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446443203&player=shnateman,"1.23.2011 10:31PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446469356&player=shnateman,"1.23.2011 10:10PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446417656&player=shnateman,"1.23.2011 10:00PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446404023&player=shnateman,"1.23.2011 9:45PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446387099&player=shnateman,"1.23.2011 9:27PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446364620&player=shnateman,"1.23.2011 9:06PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446334449&player=shnateman,"1.23.2011 8:41PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=446307988&player=shnateman,"1.23.2011 8:20PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=445945249&player=shnateman,"1.23.2011 4:48PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=445930785&player=shnateman,"1.23.2011 4:40PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=445914977&player=shnateman,"1.23.2011 4:32PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=436712547&player=shnateman,"1.18.2011 4:18PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435882171&player=shnateman,"1.18.2011 3:39AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435875861&player=shnateman,"1.18.2011 3:20AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435869142&player=shnateman,"1.18.2011 2:57AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435863860&player=shnateman,"1.18.2011 2:38AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435859062&player=shnateman,"1.18.2011 2:21AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435855184&player=shnateman,"1.18.2011 2:08AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435852494&player=shnateman,"1.18.2011 1:59AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435845857&player=shnateman,"1.18.2011 1:38AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435840333&player=shnateman,"1.18.2011 1:22AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=435833157&player=shnateman,"1.18.2011 1:04AM"
